valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
1271,Accelera Innovations,http://accelerainnovations.com,"Accelera Innovations revolutionizes quality, cost and patient outcomes in the healthcare industry.",1,1,,34,53,,Exited (ipo),,200000000,10/24/13,200000000,Chicago,Frankfort,North America,$1M - $5M,B2C,enterprise software|finance|health it|healthcare|payments|pharmaceuticals,
1600,TransferWise,http://transferwise.com,Banks charge a lot for overseas transfers. We dont. Transfer money abroad easily and quickly with our low cost money transfers.,183,183,625,1306746,4,2010,Late,Andreessen Horowitz|Baillie Gifford & Co|Errol Damelin|IA Ventures|Index Ventures|Institutional Venture Partners (IVP)|Kima Ventures|Max Levchin|Old Mutual Global|Richard Branson|SV Angel|Seedcamp|Seedcamp 2011|Smartex|Valar Ventures|Voyager Capital,396300000,11/2/17,280000000,London,London,Europe,$5M - $10M,B2B|B2C,banking|finance|mobile|payments,android|p2p money transfer|small & medium sized business
1700,VeriFone Systems,http://verifone.com,"Verifone is the global leader in secure electronic POS solutions. We provide solutions, services, and expertise that enable electronic payment transactions and value-added services at the point of sale.",1993,108,5073,245003,84,1981,Exited (ipo),Kleiner Perkins Caufield & Byers|Morgenthaler Ventures|Partech Ventures,17584713,3/24/11,17584713,San Jose,San Jose,North America,$1B - $5B,B2B,finance|information security|payments|physical security|security,
3734,NCR,http://ncr.com,"The NCR Corporation (abbrev. National Cash Register) is an American computer hardware, software and electronics company that makes self-service kiosks, point-of-sale terminals, automated teller machines, check processing systems, barcode scanners, and business consumables. NCR also provide IT maintenance support services.",13189,41,30302,395111,28,1884,Exited (ipo),Blackstone,821500000,11/14/15,820000000,Atlanta,Duluth,North America,Greater than $5B,B2B,finance|payments|retail,android|fortune 500
7321,Xero,http://xero.com,"Xero is the QuickBooks alternative. Use Xero accounting software to manage invoicing, bank reconciliation, bookkeeping & more. Start a free trial today!",1549,229,2017,2902714,37,2006,Exited (ipo),Accel Partners|Craig Winkler|Matrix Capital|Matrix Partners|Peter Thiel|Sam Morgan|Valar Ventures,204895300,2/25/15,110700000,Wellington,Wellington,Oceania,,B2B|B2C|SaaS,banking|data storage|enterprise software|finance|mobile|payments|storage,accounting|banking|collaboration|crm|productivity|relationship management
8895,GrubHub,http://grubhub.com,"Grubhub (NYSE: GRUB) is the nation's leading online and mobile food-ordering company.  Dedicated to moving eating forward and connecting diners with the food they love from their favorite local restaurants, the company's platforms and services strive to elevate food ordering through innovative restaurant technology, easy-to-use platforms and an improved delivery experience.  Grubhub is proud to work with more than 40,000 restaurant partners in over 1,000 U.S. cities and London. The Grubhub portfolio of brands includes Grubhub, Seamless, AllMenus, MenuPages, Restaurants on the Run, DiningIn and Delivered Dish.",1699,328,1839,2475778,55,2004,Exited (ipo),Amicus Capital|Benchmark|DAG Ventures|Greenspring Associates|Leo Capital Holdings|Lightspeed Venture Partners|Mesirow Financial|Origin Ventures|Stripes Group|T. Rowe Price,84100000,8/21/13,,Chicago,Chicago,North America,$250M - $500M,B2C|Consulting|On-Demand,consumer services|food & beverages|hospitality|payments,delivery|food & beverages|restaurants
13193,Shopify,http://shopify.com,"Shopify is a complete e-commerce solution that allows you to set up an online store to sell your goods. It lets you organize your products, customize your storefront, accept credit card payments, track and respond to orders.",2249,-298,3090,10898274,77,2006,Exited (ipo),Bessemer Venture Partners|Felicis Ventures|FirstMark Capital|Georgian Partners,22000000,10/17/11,15000000,Ottawa,Ottawa,North America,$100M - $250M,B2B|B2C|Marketplace|SaaS,e-commerce|payments|retail,
18160,FleetCor,http://fleetcor.com,"Fleetcor Technologies provides specialized payment products and services to commercial fleets, oil companies, and petroleum marketers.",776,48,1271,4908,107,2000,Exited (ipo),Advantage Capital Partners|Advent International|Summit Partners|TTV Capital,100000000,4/8/09,100000000,Atlanta,Norcross,North America,$1B - $5B,B2B|Consulting,banking|finance|payments,
19480,Square,http://squareup.com,Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,2148,177,2693,3325690,41,2009,Late,Andrew Rasiej|Ashton Kutcher|Biz Stone|Brian Pokorny|Citi Ventures|CrunchFund|David Lee|Dennis Crowley|Esther Dyson|First Round Capital|Fritz Lanman|GGV Capital |Goverment of Singapore Investment Corporation (GIC)|Greg Yaitanes|Jim Pitkow|Joshua Schachter|Kevin Rose|Khosla Ventures|Kleiner Perkins Caufield & Byers|Marissa Mayer|Richard Branson|Rizvi Traverse Management|Robin Chan|Ron Conway|Sequoia Capital|Shawn Fanning|Starbucks|Tiger Global Management|Visa|Visa Ventures|Visionnaire Ventures|Xavier Niel|Zachary Bogue,490500000,10/5/14,150000000,New York,New York,North America,$1M - $5M,B2B|B2C,e-commerce|fashion|finance|human resources hr|media|mobile|payments|retail,
5066,PayTM,http://paytm.com,"Paytm.com - Make Instant Digital & Utility Payment, grab latest Entertainment Tickets Online with Great Offers and Discounts and let your Travel be much easier & fun-filled! Free Payment Gateway",7352,477,6519,14203355,7,2010,Late,Ant Financial|Flipkart|Intel Capital|MediaTek|Mountain Capital|Ratan N Tata|Saama Capital|SoftBank Group,2385000000,8/16/17,5000000,Noida,Noida,Asia,,B2C,automotive|banking|consumer services|finance|mobile|payments,deals|pioneer250
224358,Tokopedia,http://tokopedia.com,Tokopedia is an online marketplace enabling individuals and business owners in Indonesia to open and maintain their online stores for free,3507,878,1572,8262053,7,2009,Late,Alibaba|Beenos|CyberAgent Ventures|East Ventures|SoftBank Capital|Softbank Ventures Korea,1347000000,8/17/17,1100000000,Jakarta Barat,Jakarta Barat,Asia,$50M - $100M,B2C|Marketplace,e-commerce|mobile|payments,payments|pioneer250
21877,Careem,http://careem.com,Careem is a chauffeur driven car booking service available in Dubai that makes it easy to book a car for your daily rides.,4837,113,1930,169142,7,2012,Late,Abraaj Group|Al Tayyar Travel Group|Careem|Coatue Management|DCM Ventures|Daimler|Impulse International|Iris Capital|Kingdom Holding|Lumia Capital|Rakuten|STC Ventures|Saudi Telecom Company,921700000,8/7/17,350000000,Dubai,Dubai,Asia,,B2C|Marketplace|On-Demand,automotive|consumer services|mobile|payments|transportation|travel,
1693,CommonBond,http://commonbond.co,"Refinance your student loans and save an average of over $24,046 with low rates starting at 2.57% APR. Get a no obligation rate quote today.",554,494,108,42059,20,2011,Late,August Capital|Barclays Capital|Kindred Partners|Macquarie Capital|NelNet Inc.|Neuberger Berman|Nyca Partners|Social Capital|Thomas Gloce|Tom Glocer|Tom Kalaris|Tribeca Venture Partners|Vikram Pandit,863500000,7/19/16,300000000,New York,Brooklyn,North America,$5M - $10M,B2C,banking|finance|payments|social networking,lending|professional networking
18728,Mosaic,http://joinmosaic.com,"Mosaic is helping bring clean, safe solar energy to homeowners across
America with affordable solar loans. Save money straight away and own your
panels.",-209,-401,137,13069,16,2011,Late,Core VC|DZ Bank|Deutsche Bank|NY Green Bank|Obvious Ventures|Spring Ventures|U.S. Department of Energy|Warburg Pincus,690420000,11/22/16,250000000,Miami,Miami,North America,$100M - $250M,Marketplace,banking|cleantech|crowdfunding|energy|finance|payments|solar power|wind power,clean energy|solar
745,Affirm,http://affirm.com,Affirm is the financial company for everyday people. We provide affordable ways to buy online that are more flexible and transparent than any other credit option.,-36,-36,299,284060,3,2012,Late,Andreessen Horowitz|David Sacks|Founders Fund|GIC|Jefferies Group|Khosla Ventures|Lightspeed Venture Partners|Max Levchin|Nyca Partners|Ribbit Capital|Spark Capital,620000000,12/11/17,200000000,Bay Area,San Francisco,North America,$25M - $50M,B2C,banking|e-commerce|finance|mobile|payments,payments|pioneer250
2093020,One97 Communications,http://one97.com,One97 Communications is a mobile internet company operating a digital goods marketplace and mobile marketing platform in India.,629,-244,1878,285459,37,2000,Late,Ant Financial|Intel Capital|SAIF Partners|Sapphire Ventures|Silicon Valley Bank,610000000,2/5/15,575000000,Noida,Noida,Asia,$500M - $1B,B2B|B2C,enterprise software|marketing|payments,
7306,AvidXchange,http://avidxchange.com,"Provides paperless invoice management, reduces costs and increases overall client productivity via automated payment processes that are integrated with more than 45 accounting systems.",1392,96,835,7587,9,2000,Late,Bain Capital Ventures|Fifth Third Capital|Foundry Group|MasterCard|Nyca Partners|Pivot Investment Partners,543000000,6/9/17,300000000,Charlotte,Charlotte,North America,$25M - $50M,B2B|SaaS,e-commerce|payments,payments
11156,DocuSign,http://docusign.com,DocuSign provides electronic signature technology and Digital Transaction Management services for facilitating electronic exchanges of contracts and signed documents.,1933,60,2497,2214889,29,2003,Late,Accel Partners|BBVA Ventures|Brookside Capital|Bruce Chizen|ClearBridge Investments|Comcast Ventures|Dell Ventures|Deutsche Telekom|Frazier Technology Ventures|Generation Investment Management|Google Ventures|Iconiq Capital|Ignition Partners|Intel Capital|Jared Leto|Jerry Yang|Jim Crown|John Batelle|Kleiner Perkins Caufield & Byers|Lew Coleman|Mitsui & Co. Global Investment|National Association of REALTORS|Propel Venture Partners|Recruit Holdings|Salesforce Ventures|Sands Capital Ventures|Sapphire Ventures|Scale Venture Partners|Sigma Partners|Sigma West|Telstra|Tony Hawk|Visa|Wasatch Advisors|Wellington Management,513800000,10/8/15,300000000,Bay Area,San Francisco,North America,$25M - $50M,B2B|SaaS,enterprise software|information security|mobile|payments|security,android
3256,Deem,http://deem.com,"Deem: technology solutions for travelers, travel managers, travel
management companies and suppliers",528,659,343,319793,23,1999,Late,American Express|Barry Newman|Burton McMurtry|Chase Capital Partners|Empire Capital Partners|Foundation Capital|HGGC|JP Morgan Chase & Co|Oak Investment Partners|One Equity Partners|Palo Alto Investors|PointGuard Ventures|Val Vaden|Vinod Khosla,500905435,4/21/16,34000000,Bay Area,San Francisco,North America,$25M - $50M,B2B|B2C,consumer services|e-commerce|payments,hotels
1170,Mercury Payment Systems,http://mercurypay.com,Vantiv is a leading credit card processor and POS solution provider for businesses of all sizes. Sign up today and accept payments everywhere you operate.,25,234,319,210500,95,2001,Exited (acquired),Silver Lake Partners,450000000,4/14/10,450000000,Durango,Durango,North America,$10M - $25M,B2B|B2C,banking|e-commerce|finance|information security|payments|security,
3924,DealerTrack,http://dealertrack.com,The leading provider of on-demand software for the auto industry in the United States,570,86,3422,419037,48,2001,Exited (acquired),,426180000,3/6/14,426180000,Salt Lake City,South Jordan,North America,$500M - $1B,Consulting,automotive|enterprise software|finance|information security|payments|security,
6123,Nubank,http://nubank.com.br," Nubank is a technology-driven financial services startup. Its first product is a credit card (MasterCard Platinum) controlled by a mobile (Android or iOS) app, which also provides customers with full control of their finances on their mobile phones.",2264,951,732,371942,3,2013,Late,DST Global|Founders Fund|Goldman Sachs|Kaszek Ventures|QED Investors|Sequoia Capital|Tiger Global Management,382412500,12/14/17,180000000,Sao Paulo,Sao Paulo,South America,,B2B,banking|mobile|payments,fintech|pioneer250
1080,Foodpanda,http://foodpanda.com,foodpanda is a global online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile application. ,-131,-864,1515,644328,18,2012,Late,Falcon Edge Capital|Goldman Sachs|Investment AB Kinnevik|Jade Global Investments|Phenomen Ventures|Rocket Internet|iMENA Holdings,340400000,8/30/16,22400000,Berlin,Berlin,Europe,$25M - $50M,B2C|Marketplace|On-Demand,e-commerce|food & beverages|hospitality|mobile|payments|travel,
15053,Stripe,http://stripe.com,Stripe is a developer-friendly way to accept payments online and in mobile apps. We process billions of dollars a year for thousands of companies of all sizes.,1315,92,943,2400732,16,2011,Late,500 Startups|Aaron Levie|Allen & Company|American Express|Andreessen Horowitz|Chris Dixon|Elad Gil|Elon Musk|Founders Fund|General Catalyst Partners|Khosla Ventures|Kleiner Perkins Caufield & Byers|Peter Thiel|Redpoint Ventures|SV Angel|Sequoia Capital|Sumitomo Mitsui Card Company|Thrive Capital|Visa|Y Combinator|YC Summer 2010,340000000,11/25/16,150000000,Bay Area,San Francisco,North America,$1M - $5M,B2B|SaaS,e-commerce|finance|payments,credit cards|payments
26648,Fab.com,http://fab.com,"Explore a curated selection of unexpected men's, women's, home, art and tech accessories from the world's most exciting designers on Fab.com. Shop Fab now.",-266,0,208,1424147,55,,Exited (acquired),A-Grade Investments|Allen Morgan|Andreessen Horowitz|Ashton Kutcher|Atomico|Baroda Ventures|Benjamin Ling|BoxGroup|Dave Morgan|David Tisch|DoCoMo Capital|Don Baer|First Round Capital|Graham Holdings|Guy Oseary|Itochu|Itochu Technology Ventures|Jason Goldberg|Jon Anderson|Kevin Rose|Lars Hinrichs|Mayfield Fund|Menlo Ventures|Phenomen Ventures|Pinnacle Ventures|RTP Ventures|SV Angel|SingTel Innov8|SoftTech VC|Tencent Holdings|Thrive Capital|VTB Capital Investment Management|Vast Ventures|Zelkova Ventures|b-to-v Partners AG,336325000,8/12/13,5000000,New York,New York,North America,$25M - $50M,B2C|Marketplace,e-commerce|email|fashion|fitness and wellness|household & personal products|payments|personal products,android|design
7822,Avalara,http://avalara.com,"Helping businesses of all sizes face the burden of accurately calculating, collecting & remitting transactional taxes. Achieve tax compliance with Avalara.",1412,202,1502,317782,18,2004,Late,Arthur Ventures|Battery Ventures|Sageview Capital|Technology Crossover Ventures|Warburg Pincus,319325355,9/22/16,96000000,Seattle,Bainbridge Island,North America,$25M - $50M,B2B,enterprise software|payments,accounting
144,LendUp,http://lendup.com,A better alternative to Payday Loans. LendUp offers online loans and credit cards with free financial education and the opportunity to build credit (where available).,144,-39,246,356282,12,2012,C,AFSquare|Alexis Ohanian|Andreessen Horowitz|Bronze Investments|Data Collective|Eagle Cliff Partners|Founders' Coop|Garry Tan|Google Ventures|Justin Mateen|Kapor Capital|Kleiner Perkins Caufield & Byers|QED Investors|Radicle Capital|SV Angel|Start Fund|Susa Ventures|Thomvest Ventures|Victory Park Capital|Y Combinator|Yuri Milner,314000000,3/2/17,100000000,Bay Area,San Francisco,North America,,B2B|B2C|SaaS,analytics|banking|finance|lending|payments,big data|lending
806,Pave,http://pave.com,"A personal loan on your terms up to $25,000. Pave considers your education and experience, not just your credit score. Check your rate online in minutes!",-142,-114,10,4241,23,2012,Late,Maxfield Capital|RPM Ventures|Seer Capital,308000000,4/12/16,8000000,New York,New York,North America,$5M - $10M,B2C,banking|career / job search|consumer services|crowdfunding|education|finance|marketing|payments,career / job search|investing|p2p
26657,RetailMeNot,http://retailmenot.com,Get discounts with coupon and promo codes for thousands of online stores with RetailMeNot. Save offline with in-store and printable coupons!,351,112,571,11615236,76,2009,Exited (ipo),Adams Street Partners|Austin Ventures|Google Ventures|Institutional Venture Partners (IVP)|JP Morgan Chase & Co|Norwest Venture Partners,299500000,11/10/11,150000000,Austin,Austin,North America,$100M - $250M,B2C,e-commerce|household & personal products|media|mobile|payments|personal products,
1717,LightSpeed POS,http://lightspeedhq.com,"Lightspeed's POS system, ecommerce and omnichannel solutions are reinventing the customer experience while helping grow your business. Try us today!",112,-328,542,2433,5,2005,Late,Accel Partners|Caisse de Depot et Placement du Quebec|Investissement Quebec|Silicon Valley Bank|iNovia Capital,292000000,10/18/17,166000000,Montreal,Montreal,North America,,B2B,business process management|enterprise software|human resources hr|payments,
1286,Mozido,http://mozido.com,Mozido is a global provider of trusted and inclusive digital commerce and payment solutions for both unbanked and developed markets.,-52,-45,76,16320,41,2008,B,H.R.H Sheikh Nahyan|MasterCard|Tiger Global Management|TomorrowVentures,288472242,10/23/14,185000000,Austin,Austin,North America,$100M - $250M,B2B,advertising|e-commerce|enterprise software|information security|mobile|payments|security,payments
494438,ShopClues.com,http://shopclues.com,ShopClues is a managed e-commerce marketplace headquartered in India.,1256,188,1208,10614026,26,2011,Late,Goverment of Singapore Investment Corporation (GIC)|Helion Venture Partners|Nexus Venture Partners|Sandeep Aggarwal|Tiger Global Management,281250000,1/11/16,150000000,Gurgaon,Gurgaon,Asia,$100M - $250M,B2C,e-commerce|payments,
2972,iZettle,http://izettle.com,iZettle is a one-stop shop for cutting-edge commerce tools -- offering everything you need to take  quick payments and grow your business.,435,75,520,581183,3,2010,Late,American Express|Creandum|Dawn Capital|European Investment Bank (EIB)|Greylock Partners|Hasso Plattner Ventures|Index Ventures|Intel Capital|MCI Management|MasterCard|Northzone|SEB Private Equity|Santander InnoVentures|Third Swedish National Pension Fund|Victory Park Capital|Zouk Capital,271220500,12/13/17,,Stockholm,Stockholm,Europe,$25M - $50M,B2B,finance|human resources hr|mobile|payments,mobile payments|payments|pioneer250
210159,Movile,http://movile.com,"Movile is a global leader in mobile marketplaces and our big dream is to make life better for 1 billion people through their mobile devices. We do this by working with people who are completely passionate to achieve this dream, empowered to build new businesses with global potential and driven to take risks to learn as fast as we grow.",-387,-298,446,127395,3,1998,Late,Innova Capital|Naspers,271000000,12/7/17,82000000,Campinas,Campinas,South America,$50M - $100M,B2B|B2C,e-commerce|gaming|mobile|payments,payments
214463,Payoneer,http://payoneer.com,Global Payments Solutions,879,-2,1018,4109282,3,2005,Late,Carmel Ventures|Charlie Federman|China Broadband|Greylock Partners|Ilan Kaufthal|Michael Loeb|New York Angels|Nyca Partners|Ping An Insurance|Ping An Ventures|Susquehanna Growth Equity|Technology Crossover Ventures|Vintage Investment Partners|Viola Group|W Capital Partners|Wellington Management|Zohar Gilon,270000220,12/5/17,220,New York,New York,North America,$50M - $100M,B2B,e-commerce|finance|mobile|payments,payments
36956,Adyen,http://adyen.com,"We provide a single solution globally to accept payments and grow revenue online, on mobile, and at the point of sale.",1176,448,747,1951629,29,2006,C,Felicis Ventures|General Atlantic|Iconiq Capital|Index Ventures|Temasek Holdings,266000000,9/30/15,,Amsterdam,Amsterdam,Europe,$25M - $50M,B2B,finance|payments,android
14288,Swiggy,http://swiggy.com,"Swiggy offers a curated takeout delivery service targeting young professionals. It uses its own delivery fleet, powered by a routing algorithm, to maximize speed and efficiency. ",2627,967,2160,1061712,1,2014,Late, Accel India| Meituan- Dianping|Accel India Ventures|Accel Partners|Bessemer Venture Partners|Digital Sky Technologies (DST)|Harmony Partners|Naspers|Norwest Venture Partners|RB Investments|SAIF Partners|SAIF Partners India,255500000,2/8/18,100000000,Bangalore,Bangalore,Asia,,B2C|On-Demand,consumer services|e-commerce|enterprise software|food & beverages|payments,delivery|logistics
27788,Delhivery,http://delhivery.com,"Delhivery offers last-mile delivery, third-party and transit warehousing, reverse logistics, payment collection, vendor-to-warehouse and vendor-to-customer shipping services to e-commerce companies.",4163,225,5707,1450089,10,2011,Late,Carlyle Group|Fosun International|Multiples Alternate Asset Management|Nexus Venture Partners|Tiger Global Management|Times Internet Ltd.,255000000,5/22/17,30000000,Haryana,Haryana,Asia,,B2B|On-Demand,e-commerce|hospitality|payments|transportation,
487631,Zuora,http://zuora.com,Zuora empowers businesses to modernize legacy order-to-cash systems with a new architecture designed to automate the entire lifecycle of their subscribers.,683,-44,1064,498175,36,2007,Late,Benchmark|BlackRock|Dave Duffield|Greylock Partners|Index Ventures|Lehman Brothers|Marc Benioff|Next World Capital|Northgate Capital|Passport Capital|Redpoint Ventures|Shasta Ventures|Tenaya Capital|Vulcan Capital|Webb Investment Network|Wellington Management,242500000,3/11/15,115000000,Bay Area,Foster City,North America,$100M - $250M,B2B|SaaS,cloud computing|data storage|enterprise software|information security|media|payments|security|storage|telecommunications,facebook|payments|pioneer250
1146,BlueVine,http://bluevine.com,"BlueVine gives small businesses a flexible line of credit to run their business or an advance on their invoices to meet payroll, buy supplies or grow.",184,-98,169,12118,5,2013,Late,83North|BDC Capital Corporation|Bank Leumi |Citi Ventures|Correlation Ventures|Greylock Partners|Kima Ventures|Kreos Capital|Lightspeed Venture Partners|Menlo Ventures|Rakuten|Silicon Valley Bank|SunTrust Bank|TriplePoint Venture Growth,241500000,10/17/17,130000000,Palo Alto,Palo Alto,North America,$5M - $10M,B2B,banking|consumer services|finance|human resources hr|payments,small & medium sized business
210719,Lakala,http://lakala.com,Lakala is a consumer financial service company in China.,594,314,216,342254,33,2005,Late,China Canada Angels Alliance|China Continent Insurance|China Reinsurance|China Taiping Life Insurance Group,240000000,6/24/15,240000000,Beijing,Beijing,Asia,$50M - $100M,B2C,finance|payments,
11719,WorldRemit,http://worldremit.com,Online Money Transfer to friends and family abroad with WorldRemit. You can now send money easily & securely with guaranteed exchange rates and low fees.,453,-42,365,602517,3,2010,C,Accel Partners|BDC Capital Corporation|Leapfrog Ventures|Silicon Valley Bank|Technology Crossover Ventures|TriplePoint Ventures,229795000,12/7/17,40000000,London,London,Europe,$25M - $50M,B2C,banking|consumer services|finance|mobile|payments,p2p money transfer
908,StreetShares,http://streetshares.com,StreetShares is an online P2P lending platform for small business loans. ,-4,51,39,2838,2,2013,Late,Community Investment Management|Direct Lending Investments|Eagle Bank|Endeavour Capital|Fenway Summer|Pivot Investment Partners|Rotunda Capital Partners|Stony Lonesome Group,225700000,1/24/18,20000000,Reston,Reston,North America,$5M - $10M,B2B|Marketplace,banking|crowdfunding|finance|payments,p2p
2545,Bill.com,http://bill.com,"Bill.com's cloud accounting solution, designed for SMB, helps save 50% of your time on business bill payments, with faster payment processing & reconciliation.",362,77,357,727679,5,2006,Late,American Express|American Express Ventures|August Capital|Bank of America|Commerce Ventures|DCM Ventures|Emergence Capital Partners|Fifth Third Bank|Financial Partners Fund|Icon Ventures (formerly Jafco Ventures)|Ignition Partners|JP Morgan Chase & Co|Napier Park Global Capital|Peter Knight|Scale Venture Partners|Silicon Valley Bank|TTV Capital|Temasek|West Capital Advisors,222600000,10/10/17,100000000,Bay Area,Palo Alto,North America,$10M - $25M,B2B|SaaS,banking|enterprise software|finance|payments,accounting
12237,OfferUp,http://offerupnow.com,OfferUp makes the process of buying and selling locally as easy as taking and sharing a photo from your phone in order to create a simple and safe marketplace. ,721,351,241,1059227,16,2012,Late,Allen & Company|Andreessen Horowitz|Coatue Management|GGV Capital |Gramercy Fund|High Line Venture Partners|Jackson Square Ventures|Mark Kingdon|Max Levchin|T. Rowe Price|Tiger Global Management|Vy Capital|Warburg Pincus,220000000,11/16/16,11000000,Seattle,Seattle,North America,$1M - $5M,B2C|Classifieds,classifieds|e-commerce|mobile|payments,payments
3803,Coinbase,http://coinbase.com,"Coinbase is an open-source cryptographic protocol that makes it easy for people and businesses to use the cryptocurrency, Bitcoin.",909,45,314,1854945,7,2012,Late,Alexis Ohanian|Andreessen Horowitz|BBVA Ventures|Battery Ventures|Draper Associates|Draper Fisher Jurvetson (DFJ)|FundersClub|Garry Tan|Greg Kidd|Greylock Partners|Institutional Venture Partners (IVP)|Interplay Ventures|Mitsubishi UFJ Capital|Mitsubishi UFJ Financial Group|NTT DoCoMo Ventures|Nasir Nas Jones|New York Stock Exchange|Propel Venture Partners|Red Swan Ventures|Ribbit Capital|SV Angel|Smartex|Sozo Ventures|Spark Capital|Thomson Reuters|Tusk Ventures|USAA|Union Square Ventures|Vikram Pandit|Y Combinator|YC Summer 2012,217209590,8/10/17,100000000,Bay Area,San Francisco,North America,,B2C,banking|bitcoin|information security|mobile|payments|security,payments|pioneer250
648,Oportun,http://oportun.com,Provides access to responsibly-structured and affordable credit for Hispanic consumers with limited or no credit history.,450,-264,1058,197,37,2005,Late,BlackRock|Charles River Ventures (CRV)|Core VC|DAG Ventures|Fidelity Investments|Glynn Capital Management|Great Oaks Venture Capital|Greylock Partners|Institutional Venture Partners (IVP)|Madrone Capital Partners|TPG Capital,213000000,2/11/15,90000000,Bay Area,Redwood City,North America,,B2C,banking|e-commerce|finance|payments,lending
